THIS IS THE OUTPUT OF THE FINISHED LEARNING TASK


Ultralytics 8.4.51  Python-3.12.10 torch-2.12.0.dev20260408+cu128 CUDA:0 (NVIDIA GeForce RTX 5060, 8151MiB)
Model summary (fused): 73 layers, 11,208,402 parameters, 0 gradients, 28.9 GFLOPs
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 292/292 4.1it/s 1:11
                   all       9339      23881      0.646       0.59      0.633      0.464
                 Apple        353       1247      0.746      0.635      0.716      0.572
             Apple Pie         33         34      0.764      0.647      0.773      0.625
               Avocado         59        144      0.803      0.729      0.749      0.479
                Banana        334        737      0.727       0.59      0.655       0.51
            Basil Rice          5          5          1          0      0.771      0.591
              Beetroot          3         12          0          0      0.123      0.076
           Bell Pepper        117        345      0.766      0.597      0.663      0.511
                 Bread         67        160      0.501      0.388      0.429      0.332
              Broccoli        127        300      0.577       0.43      0.491       0.36
                Bualoy          2          2       0.74          1      0.995      0.895
                Burger        211        259      0.735      0.782      0.818      0.716
               Cabbage         52         69      0.526      0.578      0.537      0.445
                  Cake        105        146      0.757      0.438      0.525      0.374
                Carrot        174        481      0.614       0.43      0.505      0.338
           Cauliflower          8          9      0.949      0.556      0.566      0.352
                Cheese         56        151      0.597      0.523      0.523      0.403
            Cheesecake          1          1          1          0      0.995      0.895
               Chicken         86        107      0.681      0.514      0.591      0.414
          Chicken Rice          4          4      0.422       0.25       0.62      0.327
               Coconut         52        117      0.565      0.385      0.418      0.255
                  Coke         23         56      0.566      0.875        0.8       0.57
                Cookie         38        150      0.399       0.24      0.203      0.157
                  Corn         24         29      0.646      0.621      0.658      0.451
      Crispy Pork Kale          4          4          1      0.737      0.745      0.537
             Croissant         62        126       0.63       0.46      0.558      0.417
                 Donut         38         41      0.661      0.427      0.534       0.39
                   Egg         14         19      0.352      0.579      0.499      0.392
              Eggplant         16         42      0.657      0.685      0.706      0.492
                   Fig          9         21      0.506      0.286      0.287      0.263
                  Fish         32         35      0.527        0.4      0.474      0.281
          French Fries        282        379      0.815      0.686      0.715      0.496
                 Grape        245        981      0.772      0.558      0.633      0.501
            Grapefruit         36        102      0.354      0.339      0.226      0.187
           Green Curry          3          3      0.731      0.925      0.913      0.871
       Grilled Chicken          5          5      0.804        0.8      0.895      0.714
             Hamburger         80        104      0.699       0.76      0.771      0.618
                 Homok          3          3      0.572      0.333      0.529       0.43
               Hot Dog         33         45      0.739      0.756      0.744      0.595
             Ice Cream         40        106      0.551      0.302      0.341      0.172
             Jackfruit         36         44      0.736      0.864      0.827      0.648
Japanese-style-pancake         14         14      0.713        0.5      0.652      0.469
                   Jok          1          1      0.517          1      0.995      0.895
